Dat2SB	ParticipantBarcode	Study	SampleTypeLetterCode	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12
TCGA-DK-AA6L-01A	TCGA-DK-AA6L	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-AA6M-01A	TCGA-DK-AA6M	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-AA6P-01A	TCGA-DK-AA6P	BLCA	TP	1	3	1	1	2	2	5	1	1	5	5
TCGA-DK-AA6Q-01A	TCGA-DK-AA6Q	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-AA6R-01A	TCGA-DK-AA6R	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-AA6S-01A	TCGA-DK-AA6S	BLCA	TP	1	3	3	4	5	5	6	5	8	7	7
TCGA-DK-AA6T-01A	TCGA-DK-AA6T	BLCA	TP	1	1	1	1	2	2	2	2	8	7	7
TCGA-DK-AA6U-01A	TCGA-DK-AA6U	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-AA6W-01A	TCGA-DK-AA6W	BLCA	TP	1	1	3	4	5	5	6	5	1	5	5
TCGA-DK-AA6X-01A	TCGA-DK-AA6X	BLCA	TP	1	3	3	4	5	5	6	5	8	7	7
TCGA-DK-AA71-01A	TCGA-DK-AA71	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-AA74-01A	TCGA-DK-AA74	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-AA75-01A	TCGA-DK-AA75	BLCA	TP	1	3	3	4	5	5	5	1	1	5	5
TCGA-DK-AA76-01A	TCGA-DK-AA76	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DK-AA77-01A	TCGA-DK-AA77	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-E5-A2PC-01A	TCGA-E5-A2PC	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-E5-A4TZ-01A	TCGA-E5-A4TZ	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-E5-A4U1-01A	TCGA-E5-A4U1	BLCA	TP	1	3	4	5	1	1	5	1	1	5	5
TCGA-E7-A3X6-01A	TCGA-E7-A3X6	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-E7-A3Y1-01A	TCGA-E7-A3Y1	BLCA	TP	1	3	1	1	1	1	5	1	9	8	8
TCGA-E7-A4IJ-01A	TCGA-E7-A4IJ	BLCA	TP	1	3	3	4	5	5	6	5	1	5	5
TCGA-E7-A4XJ-01A	TCGA-E7-A4XJ	BLCA	TP	1	3	4	5	6	6	7	7	5	3	3
TCGA-E7-A519-01A	TCGA-E7-A519	BLCA	TP	1	3	3	4	5	5	6	1	1	5	5
TCGA-E7-A541-01A	TCGA-E7-A541	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
