AliquotBarcode	SampleBarcode	ClusterModel1	ClusterModel2	LIexpression_score	CSF1_response	TGFB_score_21050467	Module3_IFN_score	CHANG_CORE_SERUM_RESPONSE_UP
TCGA.86.8673.01A.11R.2403.07	TCGA-86-8673-01A	1	1	0.717996478288121	0.272311528083968	0.252679931895542	-0.290437904276827	0.140518908224291
TCGA.86.8674.01A.21R.2403.07	TCGA-86-8674-01A	3	3	-0.134091927036224	-1.27570636224445	-0.494992465137284	-1.2930771843031	-0.356566729619138
TCGA.86.A456.01A.11R.A24H.07	TCGA-86-A456-01A	2	2	0.624215794206632	1.24631930289891	-0.014229762858156	2.26572439524687	-0.48830320607941
TCGA.86.A4D0.01A.11R.A24H.07	TCGA-86-A4D0-01A	2	2	0.245366169381089	-0.115494993061061	-1.08695060003657	-0.220529919724242	1.21900152884572
TCGA.86.A4JF.01A.11R.A24X.07	TCGA-86-A4JF-01A	2	2	0.727579905858492	0.857486159593343	-0.108146197721986	1.93018812238643	0.530458878546697
TCGA.86.A4P7.01A.11R.A24X.07	TCGA-86-A4P7-01A	3	3	1.39218300196883	1.28494596168934	0.276260681774772	0.562682090176404	-0.630578600656504
TCGA.86.A4P8.01A.11R.A24X.07	TCGA-86-A4P8-01A	3	3	1.30037985056059	1.98163742538767	-0.218325218709422	0.763033522245879	-1.78634662080129
TCGA.90.6837.01A.11R.1949.07	TCGA-90-6837-01A	1	1	0.889965761912003	1.24003124216559	1.51567302672016	-0.750463316821597	0.560319146544359
TCGA.90.7766.01A.21R.2125.07	TCGA-90-7766-01A	2	2	1.26265461187088	0.835798766451877	-0.227066358750861	0.759063983690842	0.544510769369126
TCGA.90.7767.01A.11R.2125.07	TCGA-90-7767-01A	2	2	0.962602058179498	0.785879263895485	1.30141345454164	1.24577351652224	0.971336953100409
TCGA.90.7769.01A.11R.2125.07	TCGA-90-7769-01A	1	1	-0.676011938456019	-0.8528663598709	0.245971615119554	-0.698307990806813	1.03281397544854
TCGA.90.7964.01A.21R.2187.07	TCGA-90-7964-01A	1	1	0.112947539222231	0.538463323204679	1.08857685864894	-0.206636534781615	0.284550789154189
TCGA.90.A4ED.01A.31R.A24Z.07	TCGA-90-A4ED-01A	3	1	0.575462007916094	-0.0228423430720765	0.573459443183688	-1.21864833639616	-0.419800238320068
TCGA.90.A4EE.01A.11R.A24Z.07	TCGA-90-A4EE-01A	2	2	1.78586412184376	1.81339971882872	0.461450881257345	0.826876934006047	0.73948075453033
TCGA.90.A59Q.01A.11R.A26W.07	TCGA-90-A59Q-01A	2	2	1.56582558247008	1.28314937290839	0.689940216294022	1.13782412081723	0.0895808039929853
TCGA.91.6828.01A.11R.1858.07	TCGA-91-6828-01A	3	3	1.08315549229885	1.48552226630538	0.0658634738006078	-0.249639869127842	-0.811496694995279
TCGA.91.6829.01A.21R.1858.07	TCGA-91-6829-01A	1	1	0.218593419343227	0.697718085858875	1.5162828736998	0.444919113043659	-0.052694590584109
TCGA.91.6835.01A.11R.1858.07	TCGA-91-6835-01A	3	3	1.85827224126434	2.04823953805288	0.713114401520162	1.02215617792186	-0.635848059714915
TCGA.91.6840.01A.11R.1949.07	TCGA-91-6840-01A	2	2	1.12726968270214	0.579913192936593	0.042689288574468	1.87869438613082	-0.0772853995233599
